day,run,frame_index,timestamp,frame_type,screenX,screenY
1,1,1,1779138678.29191,0,1920,1200
1,1,2,1779138678.31606,-1,1920,1200
1,1,3,1779138678.33688,-1,1920,1200
1,1,4,1779138678.3577,-1,1920,1200
1,1,5,1779138678.37852,-1,1920,1200
1,1,6,1779138678.39934,-1,1920,1200
1,1,7,1779138678.42016,-1,1920,1200
1,1,8,1779138678.44098,-1,1920,1200
1,1,9,1779138678.4618,-1,1920,1200
1,1,10,1779138678.48262,-1,1920,1200
1,1,11,1779138678.50344,-1,1920,1200
1,1,12,1779138678.52426,-1,1920,1200
1,1,13,1779138678.54508,-1,1920,1200
1,1,14,1779138678.5659,-1,1920,1200
1,1,15,1779138678.58672,-1,1920,1200
1,1,16,1779138678.60754,-1,1920,1200
1,1,17,1779138678.62836,-1,1920,1200
1,1,18,1779138678.64918,-1,1920,1200
1,1,19,1779138678.67,-1,1920,1200
1,1,20,1779138678.69082,-1,1920,1200
1,1,21,1779138678.71164,-1,1920,1200
1,1,22,1779138678.73246,-1,1920,1200
1,1,23,1779138678.75328,-1,1920,1200
1,1,24,1779138678.7741,-1,1920,1200
1,1,25,1779138678.79492,-1,1920,1200
1,1,26,1779138678.81574,-1,1920,1200
1,1,27,1779138678.83656,-1,1920,1200
1,1,28,1779138678.85738,-1,1920,1200
1,1,29,1779138678.8782,-1,1920,1200
1,1,30,1779138678.89902,-1,1920,1200
1,1,31,1779138678.91984,-1,1920,1200
1,1,32,1779138678.94066,-1,1920,1200
1,1,33,1779138678.96148,-1,1920,1200
1,1,34,1779138678.9823,-1,1920,1200
1,1,35,1779138679.00312,-1,1920,1200
1,1,36,1779138679.02394,-1,1920,1200
1,1,37,1779138679.04476,-1,1920,1200
1,1,38,1779138679.06558,-1,1920,1200
1,1,39,1779138679.0864,-1,1920,1200
1,1,40,1779138679.10722,-1,1920,1200
1,1,41,1779138679.12804,-1,1920,1200
1,1,42,1779138679.14886,-1,1920,1200
1,1,43,1779138679.16968,-1,1920,1200
1,1,44,1779138679.1905,-1,1920,1200
1,1,45,1779138679.21132,-1,1920,1200
1,1,46,1779138679.23214,-1,1920,1200
1,1,47,1779138679.25296,-1,1920,1200
1,1,48,1779138679.27378,-1,1920,1200
1,1,49,1779138679.2946,-1,1920,1200
1,1,50,1779138679.31542,-1,1920,1200
1,1,51,1779138679.33624,-1,1920,1200
1,1,52,1779138679.35706,-1,1920,1200
1,1,53,1779138679.37788,-1,1920,1200
1,1,54,1779138679.3987,-1,1920,1200
1,1,55,1779138679.41952,-1,1920,1200
1,1,56,1779138679.44034,-1,1920,1200
1,1,57,1779138679.46116,-1,1920,1200
1,1,58,1779138679.48198,-1,1920,1200
1,1,59,1779138679.5028,-1,1920,1200
1,1,60,1779138679.52362,-1,1920,1200
1,1,61,1779138679.54444,-1,1920,1200
1,1,62,1779138679.56526,-1,1920,1200
1,1,63,1779138679.58608,-1,1920,1200
1,1,64,1779138679.6069,-1,1920,1200
1,1,65,1779138679.62772,-1,1920,1200
1,1,66,1779138679.64854,-1,1920,1200
1,1,67,1779138679.66936,-1,1920,1200
1,1,68,1779138679.69018,-1,1920,1200
1,1,69,1779138679.711,-1,1920,1200
1,1,70,1779138679.73182,-1,1920,1200
1,1,71,1779138679.75264,-1,1920,1200
1,1,72,1779138679.77346,-1,1920,1200
1,1,73,1779138679.79428,-1,1920,1200
1,1,74,1779138679.8151,-1,1920,1200
1,1,75,1779138679.83592,-1,1920,1200
1,1,76,1779138679.85674,-1,1920,1200
1,1,77,1779138679.87756,-1,1920,1200
1,1,78,1779138679.89838,-1,1920,1200
1,1,79,1779138679.9192,-1,1920,1200
1,1,80,1779138679.94002,-1,1920,1200
1,1,81,1779138679.96084,-1,1920,1200
1,1,82,1779138679.98166,-1,1920,1200
1,1,83,1779138680.00248,-1,1920,1200
1,1,84,1779138680.0233,-1,1920,1200
1,1,85,1779138680.04412,-1,1920,1200
1,1,86,1779138680.06494,-1,1920,1200
1,1,87,1779138680.08576,-1,1920,1200
1,1,88,1779138680.10657,-1,1920,1200
1,1,89,1779138680.12739,-1,1920,1200
1,1,90,1779138680.14822,-1,1920,1200
1,1,91,1779138680.16904,-1,1920,1200
1,1,92,1779138680.18986,-1,1920,1200
1,1,93,1779138680.21067,-1,1920,1200
1,1,94,1779138680.23149,-1,1920,1200
1,1,95,1779138680.25231,-1,1920,1200
1,1,96,1779138680.27313,-1,1920,1200
1,1,97,1779138680.29395,-1,1920,1200
1,1,98,1779138680.31477,-1,1920,1200
1,1,99,1779138680.33559,-1,1920,1200
1,1,100,1779138680.35641,-1,1920,1200
1,1,101,1779138680.37723,-1,1920,1200
1,1,102,1779138680.39805,-1,1920,1200
1,1,103,1779138680.41887,-1,1920,1200
1,1,104,1779138680.43969,-1,1920,1200
1,1,105,1779138680.46051,-1,1920,1200
1,1,106,1779138680.48133,-1,1920,1200
1,1,107,1779138680.50215,-1,1920,1200
1,1,108,1779138680.52297,-1,1920,1200
1,1,109,1779138680.54379,-1,1920,1200
1,1,110,1779138680.56461,-1,1920,1200
1,1,111,1779138680.58543,-1,1920,1200
1,1,112,1779138680.60625,-1,1920,1200
1,1,113,1779138680.62707,-1,1920,1200
1,1,114,1779138680.64789,-1,1920,1200
1,1,115,1779138680.66871,-1,1920,1200
1,1,116,1779138680.68953,-1,1920,1200
1,1,117,1779138680.71035,-1,1920,1200
1,1,118,1779138680.73117,-1,1920,1200
1,1,119,1779138680.75199,-1,1920,1200
1,1,120,1779138680.77281,-1,1920,1200
1,1,121,1779138680.79363,-1,1920,1200
1,1,122,1779138680.81445,-1,1920,1200
1,1,123,1779138680.83527,-1,1920,1200
1,1,124,1779138680.85609,-1,1920,1200
1,1,125,1779138680.87691,-1,1920,1200
1,1,126,1779138680.89773,-1,1920,1200
1,1,127,1779138680.91855,-1,1920,1200
1,1,128,1779138680.93937,-1,1920,1200
1,1,129,1779138680.96019,-1,1920,1200
1,1,130,1779138680.98101,-1,1920,1200
1,1,131,1779138681.00183,-1,1920,1200
1,1,132,1779138681.02265,-1,1920,1200
1,1,133,1779138681.04347,-1,1920,1200
1,1,134,1779138681.06429,-1,1920,1200
1,1,135,1779138681.08511,-1,1920,1200
1,1,136,1779138681.10593,-1,1920,1200
1,1,137,1779138681.12675,-1,1920,1200
1,1,138,1779138681.14757,-1,1920,1200
1,1,139,1779138681.16839,-1,1920,1200
1,1,140,1779138681.18921,-1,1920,1200
1,1,141,1779138681.21003,-1,1920,1200
1,1,142,1779138681.23085,-1,1920,1200
1,1,143,1779138681.25167,-1,1920,1200
1,1,144,1779138681.27249,-1,1920,1200
1,1,145,1779138681.29331,-1,1920,1200
1,1,146,1779138681.31413,1,1920,1200
1,1,147,1779138681.33495,1,1920,1200
1,1,148,1779138681.35577,1,1920,1200
1,1,149,1779138681.37659,1,1920,1200
1,1,150,1779138681.39741,1,1920,1200
1,1,151,1779138681.41823,1,1920,1200
