day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match,record_type,trial_index,block_number,trial_in_block,is_face_block,stimonset,respsec,responsecorr,isi_seconds,block_onset,frame_index,timestamp,frame_type,keypress_index,key_code,accuracy,trigger_timestamp,screenX,screenY,source_csv_path
1,2,2,6,shape,shapes_output,oval_wide_medium.png,oval_wide_medium.png,oval_wide_small.png,left,trial,15,2,6,0,1779118294.2726,0.996916055679321,1,2,1779118261.29471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,2,7,shape,shapes_output,oval_wide_xsmall.png,circle_large.png,oval_wide_xsmall.png,right,trial,16,2,7,0,1779118300.26857,0.658750772476196,1,2,1779118261.29471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,2,8,shape,shapes_output,circle_small.png,circle_small.png,circle_xxlarge.png,left,trial,17,2,8,0,1779118306.26455,0.635556221008301,1,2,1779118261.29471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,2,9,shape,shapes_output,oval_tall_xxlarge.png,oval_tall_xxlarge.png,oval_wide_xsmall.png,left,trial,18,2,9,0,1779118312.26053,0.758179903030396,1,2,1779118261.29471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,3,1,hap_face,stimuli_images/faces,RADIATE_COLOR_9/WF10/WF10_HC.bmp,RADIATE_COLOR_9/WF10/WF10_HC.bmp,RADIATE_COLOR_4/BF12/BF12_HC.bmp,left,trial,19,3,1,1,1779118321.25449,1.00164771080017,1,4,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,3,2,hap_face,stimuli_images/faces,RADIATE_COLOR_2/AM05/AM05_HO.bmp,RADIATE_COLOR_6/BM17/BM17_HO.bmp,RADIATE_COLOR_2/AM05/AM05_HO.bmp,right,trial,20,3,2,1,1779118329.24912,0.994850397109985,1,2,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,3,3,hap_face,stimuli_images/faces,RADIATE_COLOR_7/HF10/HF10_HC.bmp,RADIATE_COLOR_2/AM07/AM07_HC.bmp,RADIATE_COLOR_7/HF10/HF10_HC.bmp,right,trial,21,3,3,1,1779118335.2451,0.717463493347168,1,4,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,3,4,hap_face,stimuli_images/faces,RADIATE_COLOR_2/AM08/AM08_HE.bmp,RADIATE_COLOR_2/AM08/AM08_HE.bmp,RADIATE_COLOR_4/BF18/BF18_HE.bmp,left,trial,22,3,4,1,1779118343.23973,0.792032241821289,1,6,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,3,5,hap_face,stimuli_images/faces,RADIATE_COLOR_4/BF18/BF18_HE.bmp,RADIATE_COLOR_6/BM16/BM16_HE.bmp,RADIATE_COLOR_4/BF18/BF18_HE.bmp,right,trial,23,3,5,1,1779118353.23302,0.785542726516724,1,4,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,3,6,hap_face,stimuli_images/faces,RADIATE_COLOR_1/AF09/AF09_HE.bmp,RADIATE_COLOR_1/AF01/AF01_HE.bmp,RADIATE_COLOR_1/AF09/AF09_HE.bmp,right,trial,24,3,6,1,1779118361.22765,1.26680850982666,1,2,1779118318.2565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
