day,run,frame_index,timestamp,frame_type,screenX,screenY
17,2,1,1779661593.31784,0,1680,1050
17,2,2,1779661593.34374,-1,1680,1050
17,2,3,1779661593.36456,-1,1680,1050
17,2,4,1779661593.38538,-1,1680,1050
17,2,5,1779661593.40619,-1,1680,1050
17,2,6,1779661593.42702,-1,1680,1050
17,2,7,1779661593.44784,-1,1680,1050
17,2,8,1779661593.46865,-1,1680,1050
17,2,9,1779661593.48947,-1,1680,1050
17,2,10,1779661593.51029,-1,1680,1050
17,2,11,1779661593.53111,-1,1680,1050
17,2,12,1779661593.55193,-1,1680,1050
17,2,13,1779661593.57275,-1,1680,1050
17,2,14,1779661593.59357,-1,1680,1050
17,2,15,1779661593.61439,-1,1680,1050
17,2,16,1779661593.63521,-1,1680,1050
17,2,17,1779661593.65603,-1,1680,1050
17,2,18,1779661593.67685,-1,1680,1050
17,2,19,1779661593.69767,-1,1680,1050
17,2,20,1779661593.71849,-1,1680,1050
17,2,21,1779661593.73931,-1,1680,1050
17,2,22,1779661593.76013,-1,1680,1050
17,2,23,1779661593.78094,-1,1680,1050
17,2,24,1779661593.80176,-1,1680,1050
17,2,25,1779661593.82258,-1,1680,1050
17,2,26,1779661593.8434,-1,1680,1050
17,2,27,1779661593.86422,-1,1680,1050
17,2,28,1779661593.88504,-1,1680,1050
17,2,29,1779661593.90586,-1,1680,1050
17,2,30,1779661593.92668,-1,1680,1050
17,2,31,1779661593.9475,-1,1680,1050
17,2,32,1779661593.96832,-1,1680,1050
17,2,33,1779661593.98914,-1,1680,1050
17,2,34,1779661594.00996,-1,1680,1050
17,2,35,1779661594.03078,-1,1680,1050
17,2,36,1779661594.0516,-1,1680,1050
17,2,37,1779661594.07242,-1,1680,1050
17,2,38,1779661594.09324,-1,1680,1050
17,2,39,1779661594.11406,-1,1680,1050
17,2,40,1779661594.13488,-1,1680,1050
17,2,41,1779661594.1557,-1,1680,1050
17,2,42,1779661594.17651,-1,1680,1050
17,2,43,1779661594.19733,-1,1680,1050
17,2,44,1779661594.21815,-1,1680,1050
17,2,45,1779661594.23897,-1,1680,1050
17,2,46,1779661594.25979,-1,1680,1050
17,2,47,1779661594.28061,-1,1680,1050
17,2,48,1779661594.30143,-1,1680,1050
17,2,49,1779661594.32225,-1,1680,1050
17,2,50,1779661594.34307,-1,1680,1050
17,2,51,1779661594.36389,-1,1680,1050
17,2,52,1779661594.38471,-1,1680,1050
17,2,53,1779661594.40553,-1,1680,1050
17,2,54,1779661594.42635,-1,1680,1050
17,2,55,1779661594.44717,-1,1680,1050
17,2,56,1779661594.46799,-1,1680,1050
17,2,57,1779661594.48881,-1,1680,1050
17,2,58,1779661594.50962,-1,1680,1050
17,2,59,1779661594.53044,-1,1680,1050
17,2,60,1779661594.55126,-1,1680,1050
17,2,61,1779661594.57208,-1,1680,1050
17,2,62,1779661594.5929,-1,1680,1050
17,2,63,1779661594.61372,-1,1680,1050
17,2,64,1779661594.63454,-1,1680,1050
17,2,65,1779661594.65536,-1,1680,1050
17,2,66,1779661594.67618,-1,1680,1050
17,2,67,1779661594.697,-1,1680,1050
17,2,68,1779661594.71782,-1,1680,1050
17,2,69,1779661594.73864,-1,1680,1050
17,2,70,1779661594.75946,-1,1680,1050
17,2,71,1779661594.78028,-1,1680,1050
17,2,72,1779661594.8011,-1,1680,1050
17,2,73,1779661594.82192,-1,1680,1050
17,2,74,1779661594.84274,-1,1680,1050
17,2,75,1779661594.86356,-1,1680,1050
17,2,76,1779661594.88437,-1,1680,1050
17,2,77,1779661594.9052,-1,1680,1050
17,2,78,1779661594.92601,-1,1680,1050
17,2,79,1779661594.94683,-1,1680,1050
17,2,80,1779661594.96765,-1,1680,1050
17,2,81,1779661594.98847,-1,1680,1050
17,2,82,1779661595.00929,-1,1680,1050
17,2,83,1779661595.03011,-1,1680,1050
17,2,84,1779661595.05093,-1,1680,1050
17,2,85,1779661595.07175,-1,1680,1050
17,2,86,1779661595.09257,-1,1680,1050
17,2,87,1779661595.11339,-1,1680,1050
17,2,88,1779661595.13421,-1,1680,1050
17,2,89,1779661595.15503,-1,1680,1050
17,2,90,1779661595.17585,-1,1680,1050
17,2,91,1779661595.19667,-1,1680,1050
17,2,92,1779661595.21749,-1,1680,1050
17,2,93,1779661595.23831,-1,1680,1050
17,2,94,1779661595.25913,-1,1680,1050
17,2,95,1779661595.27994,-1,1680,1050
17,2,96,1779661595.30076,-1,1680,1050
17,2,97,1779661595.32158,-1,1680,1050
17,2,98,1779661595.3424,-1,1680,1050
17,2,99,1779661595.36322,-1,1680,1050
17,2,100,1779661595.38404,-1,1680,1050
17,2,101,1779661595.40486,-1,1680,1050
17,2,102,1779661595.42568,-1,1680,1050
17,2,103,1779661595.4465,-1,1680,1050
17,2,104,1779661595.46732,-1,1680,1050
17,2,105,1779661595.48814,-1,1680,1050
17,2,106,1779661595.50896,-1,1680,1050
17,2,107,1779661595.52978,-1,1680,1050
17,2,108,1779661595.5506,-1,1680,1050
17,2,109,1779661595.57142,-1,1680,1050
17,2,110,1779661595.59224,-1,1680,1050
17,2,111,1779661595.61305,-1,1680,1050
17,2,112,1779661595.63388,-1,1680,1050
17,2,113,1779661595.65469,-1,1680,1050
17,2,114,1779661595.67551,-1,1680,1050
