day,run,frame_index,timestamp,frame_type,screenX,screenY
19,2,1,1779746197.21355,0,1680,1050
19,2,2,1779746207.22901,-1,1680,1050
19,2,3,1779746207.24568,-1,1680,1050
19,2,4,1779746207.26234,-1,1680,1050
19,2,5,1779746207.27901,-1,1680,1050
19,2,6,1779746207.29567,-1,1680,1050
19,2,7,1779746207.31234,-1,1680,1050
19,2,8,1779746207.32901,-1,1680,1050
19,2,9,1779746207.34567,-1,1680,1050
19,2,10,1779746207.36234,-1,1680,1050
19,2,11,1779746207.379,-1,1680,1050
19,2,12,1779746207.39567,-1,1680,1050
19,2,13,1779746207.41234,-1,1680,1050
19,2,14,1779746207.429,-1,1680,1050
19,2,15,1779746207.44567,-1,1680,1050
19,2,16,1779746207.46233,-1,1680,1050
19,2,17,1779746207.479,-1,1680,1050
19,2,18,1779746207.49567,-1,1680,1050
19,2,19,1779746207.51233,-1,1680,1050
19,2,20,1779746207.529,-1,1680,1050
19,2,21,1779746207.54567,-1,1680,1050
19,2,22,1779746207.56233,-1,1680,1050
19,2,23,1779746207.579,-1,1680,1050
19,2,24,1779746207.59566,-1,1680,1050
19,2,25,1779746207.61233,-1,1680,1050
19,2,26,1779746207.629,-1,1680,1050
19,2,27,1779746207.64566,-1,1680,1050
19,2,28,1779746207.66233,-1,1680,1050
19,2,29,1779746207.67899,-1,1680,1050
19,2,30,1779746207.69566,-1,1680,1050
19,2,31,1779746207.71233,-1,1680,1050
19,2,32,1779746207.72899,-1,1680,1050
19,2,33,1779746207.74566,-1,1680,1050
19,2,34,1779746207.76235,-1,1680,1050
19,2,35,1779746207.77899,-1,1680,1050
19,2,36,1779746207.79566,-1,1680,1050
19,2,37,1779746207.81232,-1,1680,1050
19,2,38,1779746207.82899,-1,1680,1050
19,2,39,1779746207.84565,-1,1680,1050
19,2,40,1779746207.86232,-1,1680,1050
19,2,41,1779746207.87899,-1,1680,1050
19,2,42,1779746207.89565,-1,1680,1050
19,2,43,1779746207.91232,-1,1680,1050
19,2,44,1779746207.92899,-1,1680,1050
19,2,45,1779746207.94565,-1,1680,1050
19,2,46,1779746207.96232,-1,1680,1050
19,2,47,1779746207.97898,-1,1680,1050
19,2,48,1779746207.99565,-1,1680,1050
19,2,49,1779746208.01231,-1,1680,1050
19,2,50,1779746208.02898,-1,1680,1050
19,2,51,1779746208.04565,-1,1680,1050
19,2,52,1779746208.06231,-1,1680,1050
19,2,53,1779746208.07898,-1,1680,1050
19,2,54,1779746208.09564,-1,1680,1050
19,2,55,1779746208.11231,-1,1680,1050
19,2,56,1779746208.12898,-1,1680,1050
19,2,57,1779746208.14564,-1,1680,1050
19,2,58,1779746208.16231,-1,1680,1050
19,2,59,1779746208.17898,-1,1680,1050
19,2,60,1779746208.19564,-1,1680,1050
19,2,61,1779746208.21231,-1,1680,1050
19,2,62,1779746208.22897,-1,1680,1050
19,2,63,1779746208.24564,-1,1680,1050
19,2,64,1779746208.26231,-1,1680,1050
19,2,65,1779746208.27897,-1,1680,1050
19,2,66,1779746208.29564,-1,1680,1050
19,2,67,1779746208.31231,-1,1680,1050
19,2,68,1779746208.32897,-1,1680,1050
19,2,69,1779746208.34564,-1,1680,1050
19,2,70,1779746208.3623,-1,1680,1050
19,2,71,1779746208.37897,-1,1680,1050
19,2,72,1779746208.39563,-1,1680,1050
19,2,73,1779746208.4123,-1,1680,1050
19,2,74,1779746208.42897,-1,1680,1050
19,2,75,1779746208.44563,-1,1680,1050
19,2,76,1779746208.4623,-1,1680,1050
19,2,77,1779746208.47896,-1,1680,1050
19,2,78,1779746208.49563,-1,1680,1050
19,2,79,1779746208.5123,-1,1680,1050
19,2,80,1779746208.52896,-1,1680,1050
19,2,81,1779746208.54563,-1,1680,1050
19,2,82,1779746208.5623,-1,1680,1050
19,2,83,1779746208.57896,-1,1680,1050
19,2,84,1779746208.59563,-1,1680,1050
19,2,85,1779746208.61229,-1,1680,1050
19,2,86,1779746208.62896,-1,1680,1050
19,2,87,1779746208.64563,-1,1680,1050
19,2,88,1779746208.66229,-1,1680,1050
19,2,89,1779746208.67896,-1,1680,1050
19,2,90,1779746208.69563,-1,1680,1050
19,2,91,1779746208.71229,-1,1680,1050
19,2,92,1779746208.72896,-1,1680,1050
19,2,93,1779746208.74562,-1,1680,1050
19,2,94,1779746208.76229,-1,1680,1050
19,2,95,1779746208.77895,-1,1680,1050
19,2,96,1779746208.79562,-1,1680,1050
19,2,97,1779746208.81229,-1,1680,1050
19,2,98,1779746208.82895,-1,1680,1050
19,2,99,1779746208.84562,-1,1680,1050
19,2,100,1779746208.86229,-1,1680,1050
19,2,101,1779746208.87895,-1,1680,1050
19,2,102,1779746208.89562,-1,1680,1050
19,2,103,1779746208.91228,-1,1680,1050
19,2,104,1779746208.92895,-1,1680,1050
19,2,105,1779746208.94562,-1,1680,1050
19,2,106,1779746208.96228,-1,1680,1050
19,2,107,1779746208.97895,-1,1680,1050
19,2,108,1779746208.99561,-1,1680,1050
19,2,109,1779746209.01228,-1,1680,1050
19,2,110,1779746209.02895,-1,1680,1050
19,2,111,1779746209.04561,-1,1680,1050
19,2,112,1779746209.06228,-1,1680,1050
19,2,113,1779746209.07894,-1,1680,1050
19,2,114,1779746209.09561,-1,1680,1050
19,2,115,1779746209.11228,-1,1680,1050
19,2,116,1779746209.12894,-1,1680,1050
19,2,117,1779746209.14561,-1,1680,1050
19,2,118,1779746209.16228,-1,1680,1050
19,2,119,1779746209.17894,-1,1680,1050
19,2,120,1779746209.19561,-1,1680,1050
19,2,121,1779746209.21227,-1,1680,1050
19,2,122,1779746209.22894,-1,1680,1050
19,2,123,1779746209.24561,-1,1680,1050
19,2,124,1779746209.26227,-1,1680,1050
19,2,125,1779746209.27894,-1,1680,1050
19,2,126,1779746209.2956,-1,1680,1050
19,2,127,1779746209.31227,-1,1680,1050
19,2,128,1779746209.32894,-1,1680,1050
19,2,129,1779746209.3456,-1,1680,1050
19,2,130,1779746209.36227,-1,1680,1050
19,2,131,1779746209.37893,-1,1680,1050
19,2,132,1779746209.3956,-1,1680,1050
19,2,133,1779746209.41227,-1,1680,1050
19,2,134,1779746209.42893,-1,1680,1050
19,2,135,1779746209.4456,-1,1680,1050
19,2,136,1779746209.46226,-1,1680,1050
19,2,137,1779746209.47893,-1,1680,1050
19,2,138,1779746209.4956,-1,1680,1050
19,2,139,1779746209.51226,-1,1680,1050
19,2,140,1779746209.52893,-1,1680,1050
19,2,141,1779746209.54559,-1,1680,1050
19,2,142,1779746209.56226,-1,1680,1050
19,2,143,1779746209.57893,-1,1680,1050
19,2,144,1779746209.59559,-1,1680,1050
19,2,145,1779746209.61226,-1,1680,1050
19,2,146,1779746209.62893,-1,1680,1050
19,2,147,1779746209.64559,-1,1680,1050
19,2,148,1779746209.66226,-1,1680,1050
19,2,149,1779746209.67892,-1,1680,1050
19,2,150,1779746209.69561,-1,1680,1050
19,2,151,1779746209.71226,-1,1680,1050
19,2,152,1779746209.72892,-1,1680,1050
19,2,153,1779746209.74559,-1,1680,1050
19,2,154,1779746209.76225,-1,1680,1050
19,2,155,1779746209.77892,-1,1680,1050
19,2,156,1779746209.79559,-1,1680,1050
19,2,157,1779746209.81225,-1,1680,1050
19,2,158,1779746209.82892,-1,1680,1050
19,2,159,1779746209.84558,-1,1680,1050
19,2,160,1779746209.86225,-1,1680,1050
19,2,161,1779746209.87892,-1,1680,1050
19,2,162,1779746209.89558,-1,1680,1050
19,2,163,1779746209.91225,-1,1680,1050
19,2,164,1779746209.92891,-1,1680,1050
19,2,165,1779746209.94558,-1,1680,1050
19,2,166,1779746209.96225,-1,1680,1050
19,2,167,1779746209.97891,-1,1680,1050
19,2,168,1779746209.99558,-1,1680,1050
19,2,169,1779746210.01224,-1,1680,1050
19,2,170,1779746210.02891,-1,1680,1050
19,2,171,1779746210.04558,-1,1680,1050
19,2,172,1779746210.06224,-1,1680,1050
19,2,173,1779746210.07891,-1,1680,1050
19,2,174,1779746210.09557,-1,1680,1050
19,2,175,1779746210.11224,-1,1680,1050
19,2,176,1779746210.12891,-1,1680,1050
19,2,177,1779746210.14557,-1,1680,1050
19,2,178,1779746210.16224,-1,1680,1050
19,2,179,1779746210.17891,-1,1680,1050
19,2,180,1779746210.19557,-1,1680,1050
19,2,181,1779746210.21224,-1,1680,1050
19,2,182,1779746210.2289,1,1680,1050
19,2,183,1779746210.24557,1,1680,1050
19,2,184,1779746210.26224,1,1680,1050
19,2,185,1779746210.2789,1,1680,1050
19,2,186,1779746210.29557,1,1680,1050
19,2,187,1779746210.31223,1,1680,1050
19,2,188,1779746210.3289,1,1680,1050
19,2,189,1779746210.34557,1,1680,1050
19,2,190,1779746210.36223,1,1680,1050
19,2,191,1779746210.3789,1,1680,1050
19,2,192,1779746210.39556,1,1680,1050
19,2,193,1779746210.41223,1,1680,1050
19,2,194,1779746210.4289,1,1680,1050
19,2,195,1779746210.44556,1,1680,1050
19,2,196,1779746210.46223,1,1680,1050
19,2,197,1779746210.47889,1,1680,1050
19,2,198,1779746210.49556,1,1680,1050
19,2,199,1779746210.51223,1,1680,1050
19,2,200,1779746210.52889,1,1680,1050
19,2,201,1779746210.54556,1,1680,1050
19,2,202,1779746210.56223,1,1680,1050
19,2,203,1779746210.57889,1,1680,1050
19,2,204,1779746210.59556,1,1680,1050
19,2,205,1779746210.61222,1,1680,1050
19,2,206,1779746210.62889,1,1680,1050
19,2,207,1779746210.64556,1,1680,1050
19,2,208,1779746210.66222,1,1680,1050
19,2,209,1779746210.67889,1,1680,1050
19,2,210,1779746210.69555,1,1680,1050
19,2,211,1779746210.71222,1,1680,1050
19,2,212,1779746210.72889,1,1680,1050
19,2,213,1779746210.74555,1,1680,1050
19,2,214,1779746210.76222,1,1680,1050
19,2,215,1779746210.77888,1,1680,1050
19,2,216,1779746210.79555,1,1680,1050
19,2,217,1779746210.81222,1,1680,1050
19,2,218,1779746210.82888,1,1680,1050
19,2,219,1779746210.84555,1,1680,1050
19,2,220,1779746210.86221,1,1680,1050
19,2,221,1779746210.87888,1,1680,1050
19,2,222,1779746210.89555,1,1680,1050
19,2,223,1779746210.91221,1,1680,1050
19,2,224,1779746210.92888,1,1680,1050
19,2,225,1779746210.94555,1,1680,1050
19,2,226,1779746210.96221,1,1680,1050
19,2,227,1779746210.97888,1,1680,1050
19,2,228,1779746210.99554,1,1680,1050
19,2,229,1779746211.01221,1,1680,1050
19,2,230,1779746211.02887,1,1680,1050
19,2,231,1779746211.04554,1,1680,1050
19,2,232,1779746211.06221,1,1680,1050
19,2,233,1779746211.07887,1,1680,1050
19,2,234,1779746211.09554,1,1680,1050
19,2,235,1779746211.11221,1,1680,1050
19,2,236,1779746211.12887,1,1680,1050
19,2,237,1779746211.14554,1,1680,1050
19,2,238,1779746211.1622,1,1680,1050
19,2,239,1779746211.17887,1,1680,1050
19,2,240,1779746211.19554,1,1680,1050
19,2,241,1779746211.2122,1,1680,1050
19,2,242,1779746211.22887,1,1680,1050
19,2,243,1779746211.24553,1,1680,1050
19,2,244,1779746211.2622,1,1680,1050
19,2,245,1779746211.27887,1,1680,1050
19,2,246,1779746211.29553,1,1680,1050
19,2,247,1779746211.3122,1,1680,1050
19,2,248,1779746211.32887,1,1680,1050
19,2,249,1779746211.34553,1,1680,1050
